id,marca,modelo,versao,descricao,tipo,categoria,segmento,ano_fabricacao,ano_modelo,portas,preco,dt_cadastro
494551,Honda,Fit,New Fit LXL 1.4 (flex) (aut),"Visando mais segurança para sua compra todos os nossos automóveis possuem garantia de três meses ou 3.000km de motor e caixa.

Maiores Informações: (21)2628-0950 / (21)3712-8982

Venha fazer um bom negócio na Bv Veículo!!

Estamos localizados nos endereços abaixo:
Lj1: R. Jovelino de Oliveira Viana, 138 Centro de Alcântara/SG
Lj2: R. Comandante Ari Parreiras, 101 Porto Velho/SG",USADOS,AUTOMOVEL,\0,2010,2010,5,38900,2021-07-23 18:35:10
494550,Renault,Kwid,Kwid 1.0 Zen,,USADOS,AUTOMOVEL,HATCH,2019,2020,4,45990,2021-07-23 18:07:09
494549,Chevrolet,Cobalt,Cobalt LTZ 1.8 8V (Aut) (Flex),"Cobalt LTZ 1.8 Aut
Carro muito bem cuidado, sem nenhum tipo de detalhe, para quem busca um carro muito completo e espaçoso para o dia a dia e passeios!
CONDIÇÃO A VISTA!!!
VEÍCULO SE ENCONTRA NA VIP CAR SEMINOVOS E CAMINHONETES CRICIUMA",USADOS,AUTOMOVEL,SEDAN,2018,2019,4,71900,2021-07-23 18:03:04
494548,Renault,Sandero Stepway,Sandero Stepway Zen 1.6,,SEMINOVOS,AUTOMOVEL,HATCH,2019,2020,4,65990,2021-07-23 18:01:32
494546,Citroen,C3,C3 Tendance 1.6 VTI 120 (Flex) (Aut),"Revisões Realizadas
Revisões Realizadas
Vários Opcionais",USADOS,AUTOMOVEL,\0,2016,2017,5,50900,2021-07-23 18:22:15
494545,BMW,X1,X1 2.0 sDrive20i GP ActiveFlex,"Baixa KM
Revisões Realizadas
Garantia de Fábrica
Revisões Realizadas
Vários Opcionais",SEMINOVOS,AUTOMOVEL,\0,2018,2018,5,180900,2021-07-23 18:19:57
494544,Chevrolet,Onix,Onix 1.4 LTZ SPE/4 (Aut),"Veículo de Não-Fumante
IPVA Pago
Baixa KM
Pneus Novos
Parece Novo
Vários Opcionais
Licenciado",SEMINOVOS,AUTOMOVEL,\0,2018,2019,5,65900,2021-07-23 18:18:29
494543,Fiat,Palio,1.0 Evo (Flex),"Veículo de Não-Fumante
IPVA Pago
Baixa KM
Pneus Novos
Nenhuma Batida
Parece Novo
Licenciado
Vários Opcionais",USADOS,AUTOMOVEL,\0,2015,2016,5,38900,2021-07-23 18:16:34
494542,Volkswagen,Fox,Fox 1.6 MSI Run (Flex),"Completo com Gnv, super novo, não deixe de conferir

Visando mais segurança para sua compra todos os nossos automóveis possuem garantia de três meses ou 3.000km de motor e caixa.

Maiores Informações: (21)2628-0950 / (21)3712-8982

Venha fazer um bom negócio na Bv Veículo!!

Estamos localizados nos endereços abaixo:
Lj1: R. Jovelino de Oliveira Viana, 138 Centro de Alcântara/SG
Lj2: R. Comandante Ari Parreiras, 101 Porto Velho/SG",USADOS,AUTOMOVEL,\0,2016,2017,5,43900,2021-07-23 18:15:15
494541,Volkswagen,Fox,Fox 1.6 VHT Prime (Flex),"Veículo de Não-Fumante
IPVA Pago
Nenhuma Batida
Licenciado
Vários Opcionais",USADOS,AUTOMOVEL,\0,2012,2013,5,34900,2021-07-23 18:14:05
494540,Hyundai,HB20S,HB20S 1.0 Unique,"Revisões Realizadas
Garantia de Fábrica
Revisões Realizadas
Vários Opcionais",SEMINOVOS,AUTOMOVEL,\0,2018,2019,5,55900,2021-07-23 18:11:41
494539,Hyundai,Creta,Creta 2.0 Prestige (Aut),"Único Dono
IPVA Pago
Pneus Novos
Parece Novo
Nenhuma Batida
Revisões Realizadas
Garantia de Fábrica
Vários Opcionais
Licenciado
Revisões Realizadas",SEMINOVOS,AUTOMOVEL,\0,2018,2018,5,95900,2021-07-23 18:10:55
494538,Volkswagen,Fox,Fox 1.0 VHT (Flex) 4p,"IPVA Pago
Pneus Novos
Nenhuma Batida
Parece Novo
Vários Opcionais
Licenciado",USADOS,AUTOMOVEL,\0,2012,2012,4,31900,2021-07-23 18:08:19
